ID	Subcategory	Question	Answer	Comment	Source
Social_6	Criminal Justice	Government should allow clemency plans for non-violent drug offenders currently incarcerated	1	Biden believes that no one should be imprisoned for the use of illegal drugs alone. He also proposes to use the president’s clemency power to secure the release of individuals facing unduly long sentences for certain non-violent and drug crimes	https://joebiden.com/justice/
Social_8	Criminal Justice	Marijuana should be legalized at the state and federal levels	1	As president, he will decriminalize cannabis use and automatically expunge prior convictions. And, he will support the legalization of cannabis for medical purposes, leave decisions regarding legalization for recreational use up to the states, and reschedule cannabis as a schedule II drug so researchers can study its positive and negative impacts.	https://joebiden.com/justice/
Social_10	Church-State	The government should provide all women free access to abortion facilities and cover costs of care	5	Vice President Biden supports repealing the Hyde Amendment because health care is a right that should not be dependent on one’s zip code or income. And, the public option will cover contraception and a woman’s constitutional right to choose.	https://joebiden.com/AmericanLeadership/
Social_11	Democracy	Citizens united should be overturned	5	Biden has long been on record publicly opposing the Citizens United decision	https://www.huffpost.com/entry/joe-biden-rejects-help-from-new-super-pac_n_5cc47617e4b08e4e3482b2b1?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAALt0_opNFKXl-LzpILlIfFDNvFY-ggn85GHwu--hXfeLn3_g1H5n9OrPcKyqBfzgmF-ZtY7fk5QuMfpUNV9cqB9xOna7Iei4-yUpnbxoieFeBE9fsCNiyvgNbhNmqqLtlbU7RiYvkBgQzRiP3q3nHj4TjCuPtw8ujKOHomAKTGJ_ 
Foreign_1	Unilateralism	President should be required to come to Congress for an authorization of the use of military force (AUMF)	2	The campaign said that Biden believes war against Iran without specific congressional authorization “would be unconstitutional."	https://www.nbcnews.com/politics/2020-election/biden-once-warned-president-war-iran-without-congressional-approval-impeachable-n1019041
Foreign_2	Unilateralism	Israel meets international standards of human rights	3	Joe Biden said that Israel’s occupation a “real” and “significant” problem, but would not go as far to say it is a “human rights crisis.”	https://www.jta.org/2019/07/14/politics/biden-buttigieg-booker-respond-to-ifnotnow-question-about-occupation
Foreign_3	Interventionism	We should bring U.S. troops home from America's post-9/11 wars without delay	3	I would bring American combat troops in Afghanistan home during my first term. Any residual U.S. military presence in Afghanistan would be focused only on counterterrorism operations	https://www.cfr.org/article/democratic-candidates-war-afghanistan
Foreign_4	Interventionism	Illegal immigration is a major national security problem in the US	1	Joe Biden blasts decriminalizing illegal immigration: 'It's a crime'	https://www.washingtontimes.com/news/2019/jul/31/joe-biden-blasts-decriminalizing-illegal-immigrati/
Foreign_5	Hegemony	Growing defense / pentagon spending should be a priority	5	Boost the defense budget	https://www.ontheissues.org/Joe_Biden.htm
Foreign_6	Hegemony	US and developing countries (China, India) should have same climate change standards despite the underlying different stages of development	1	Biden calls for $1.7 trillion in direct federal investments in renewables, energy-efficient infrastructure, and research and development on a wide range of “moon shot” green technologies, among other projects - irrespective of what other countries do.	http://nymag.com/intelligencer/2019/06/joe-biden-climate-change-plan-green-new-deal.html
