ID	Subcategory	Question	Answer	Comment	Source
Social_2	Education	The government should forgive outstanding student debt	3	She will allow current debt holders to refinance high-interest loans to lower rates, expanding Income Based Repayment (IBR) to ensure no student pays more than they can afford	https://kamalaharris.org/issue/debt-free-college-and-student-debt/
Social_3	Gun Control	The government should ban all assault style weapons and high capacity magazines from public purchase	5	She supports an assault weapons ban	https://kamalaharris.org/issue/action-on-gun-violence/
Social_4	Gun Control	The government should introduce a gun buy-back program	5	Harris: Swalwell’s Mandatory Gun Buyback a ‘Great Idea’	https://freebeacon.com/politics/harris-swalwells-gun-buyback-a-great-idea/
Social_5	Criminal Justice	Death penalty should be ended at state and federal levels	3	Kamala Harris Touts Her Opposition to the Death Penalty. Her Track Record’s More Complicated.	https://www.motherjones.com/politics/2019/01/kamala-harris-touts-her-opposition-to-the-death-penalty-her-track-records-more-complicated/
Social_6	Criminal Justice	Government should allow clemency plans for non-violent drug offenders currently incarcerated	5	She would go further than former President Barack Obama in using her powers to pardon non-violent drug offenders	https://www.cnn.com/2019/04/24/politics/kamala-harris-pardons/index.html
Social_7	Criminal Justice	The government should take an active role to reduce police brutality, especially those driven by racial biases	4	She implemented training programs to address police officers’ racial biases, but also resisted calls to get her office to investigate certain police shootings, though she now says she backs independent probes in police shootings	https://www.politico.com/story/2019/05/20/kamala-harris-police-shootings-1336683
Social_8	Criminal Justice	Marijuana should be legalized at the state and federal levels	5	To help end the era of mass incarceration, Kamala will take action to legalize marijuana	https://kamalaharris.org/issue/criminal-justice-reform/
Social_9	Church-State	I support the Equality Act (amending the Civil Rights Act to prohibit discrimination on the basis of sexual orientation and gender identity in employment, housing, public accommodations, public education, federal funding, credit, and the jury system)	5	As president, Kamala will fight to pass the Equality Act to provide the LGBTQ+ community explicit and comprehensive protection from discrimination in all facets of life, including employment, schools, and public accommodations.	https://kamalaharris.org/issue/lgbtq-equality/
Social_10	Church-State	The government should provide all women free access to abortion facilities and cover costs of care	5	No woman's access to reproductive health care should be based on how much money she has. We must repeal the Hyde Amendment.	https://twitter.com/kamalaharris/status/1136320875102429184?lang=en
Social_11	Democracy	Citizens united should be overturned	5	The Supreme Court's 2010 Citizens United decision, which opened the door for unlimited spending in elections, should be overturned	https://www.politico.com/2020-election/candidates-views-on-the-issues/kamala-harris/
Foreign_1	Unilateralism	President should be required to come to Congress for an authorization of the use of military force (AUMF)	5	In May 2019, Harris voted for the repeal of the 2001 AUMF	https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=116&session=1&vote=00094
Foreign_2	Unilateralism	Israel meets international standards of human rights	5	In the Senate and on the campaign trail, Harris is opposing the boycott, divestment and sanctions movement targeting Israel, foreign aid cuts to the state, condemnatory votes on Israel at the United Nations and public criticism of its leadership	https://www.mcclatchydc.com/news/politics-government/white-house/article229180844.html
Foreign_3	Interventionism	We should bring U.S. troops home from America's post-9/11 wars without delay	5	Has called for bringing U.S. troops home from America's post-9/11 wars without delay	https://www.politico.com/2020-election/candidates-views-on-the-issues/kamala-harris/
Foreign_4	Interventionism	Illegal immigration is a major national security problem in the US	1	Kamala will focus our border enforcement resources on true public safety threats through investments in technology and ports of entry to address the flow of illegal drugs, illegal weapons and human trafficking.	https://kamalaharris.org/issue/immigration/
Foreign_5	Hegemony	Growing defense / pentagon spending should be a priority	1	Track records of advocating deep cuts in the Pentagon budget in order to pay for what they consider more important domestic programs or diplomatic initiatives	https://www.politico.com/2020-election/candidates-views-on-the-issues/kamala-harris/
Foreign_6	Hegemony	It is not ideal but in some cases necessary to use extreme interrogration techniques, especially for terrorist suspects	1	Torture is immoral and un-American	https://www.facebook.com/SenatorKamalaHarris/posts/torture-is-immoral-and-un-american-and-gina-haspel-should-have-stated-that-unequ/680450415631428/
Foreign_7	Hegemony	US should actively prevent China's rise as a military super-power	3	No data	
Foreign_8	Hegemony	US and developing countries (China, India) should have same climate change standards despite the underlying different stages of development	1	Has supported the Green New Deal, which sets ambitious targets for the US in combating climate change, regardless of what other countries do	https://kamalaharris.org/issue/climate/
