ID	Subcategory	Question	Answer	Comment	Source
Social_6	Criminal Justice	Government should allow clemency plans for non-violent drug offenders currently incarcerated	5	We will commute the sentences of people who are incarcerated in the federal system beyond what justice warrants by establishing an independent clemency commission that sits outside the Department of Justice	https://assets.documentcloud.org/documents/6188695/PFA-Douglass-Plan.pdf
Social_7	Criminal Justice	The government should take an active role to reduce police brutality, especially those driven by racial biases	5	Increase police accountability for misconduct and prevent discriminatory police practices	https://peteforamerica.com/issues/
Social_8	Criminal Justice	Marijuana should be legalized at the state and federal levels	5	Legalize marijuana and address the harmful effects of its criminalization	https://peteforamerica.com/issues/
Social_9	Church-State	I support the Equality Act (amending the Civil Rights Act to prohibit discrimination on the basis of sexual orientation and gender identity in employment, housing, public accommodations, public education, federal funding, credit, and the jury system)	5	Pass the Equality Act	https://peteforamerica.com/issues/
Social_10	Church-State	The government should provide all women free access to abortion facilities and cover costs of care	5	Repeal the Hyde Amendment so that those in need can access care equitably	https://peteforamerica.com/issues/
Social_11	Democracy	Citizens united should be overturned	5	Overturn Citizens United and Buckley v. Valeo, if necessary by constitutional amendment	https://peteforamerica.com/issues/
Foreign_1	Unilateralism	President should be required to come to Congress for an authorization of the use of military force (AUMF)	5	The time has come for Congress to repeal and replace that blank check on the use of force and ensure a robust debate on future operations	https://peteforamerica.com/national-security-for-a-new-era/
Foreign_2	Unilateralism	Israel meets international standards of human rights	1	The suffering of the Palestinian people–especially the humanitarian disaster in Gaza–has many authors, from the extremism of Hamas and inefficacy of the Palestinian Authority to the indifference of the international community and, yes, the policies of the current Israeli government.	https://peteforamerica.com/national-security-for-a-new-era/
Foreign_3	Interventionism	We should bring U.S. troops home from America's post-9/11 wars without delay	5	“The world needs an America free from entrapment in endless war and prepared to focus on future threats,” Buttigieg said. U.S. involvement in Afghanistan, for example, must come to an end, he said.	https://www.reuters.com/article/us-usa-election-buttigieg/buttigieg-urges-end-to-endless-u-s-war-return-to-iran-climate-deals-idUSKCN1TC20K
Foreign_4	Interventionism	Illegal immigration is a major national security problem in the US	4	What we need is to manage immigration and our border humanely, securely, and effectively	https://peteforamerica.com/national-security-for-a-new-era/
Foreign_5	Hegemony	Growing defense / pentagon spending should be a priority	1	Boost the defense budget, prioritizing artificial intelligence and machine learning	https://www.politico.com/2020-election/candidates-views-on-the-issues/military/defense-spending/
Foreign_6	Hegemony	It is not ideal but in some cases necessary to use extreme interrogration techniques, especially for terrorist suspects	2	Regarding the CIA torture report released Tuesday, South Bend Mayor Pete Buttigieg tweeted "The country I served is better than this." At the same time, he said he was “troubled” by Barack Obama’s clemency for Chelsea Manning (Manning publicly exposed U.S. war crimes, a misdeed for which she was imprisoned and tortured).	https://www.currentaffairs.org/2019/03/all-about-pete
Foreign_7	Hegemony	US should actively prevent China's rise as a military super-power	5	Of course, we can cooperate with the Chinese on areas of mutual interest, from climate disruption, to combatting terrorism to international peacekeeping operations. But we also must be prepared to defend our values, interests, and relationships.	https://peteforamerica.com/national-security-for-a-new-era/
Foreign_8	Hegemony	US and developing countries (China, India) should have same climate change standards despite the underlying different stages of development	1	The world needs America to lead on climate	https://peteforamerica.com/national-security-for-a-new-era/
